# Ag_JC_EC, m=1.000000, gscat=0.000000
# 1 0 0 2 3 = columns for wave, Re(n), Im(n), eps1, eps2    
#    #LAMBDA(um)     eps1(Real)     eps2(Imag)
     0.74200000   -28.54715815     0.31425545
     0.74400000   -28.70663856     0.31680326
     0.74600000   -28.86654805     0.31936480
     0.74800000   -29.02688663     0.32194012
     0.75000000   -29.18765431     0.32452923
     0.75200000   -29.34885107     0.32713220
     0.75400000   -29.51047692     0.32974904
     0.75600000   -29.67253185     0.33237979
     0.75800000   -29.83501586     0.33502451
     0.76000000   -29.99792896     0.33768321
     0.76200000   -30.16127113     0.34035594
     0.76400000   -30.32504239     0.34304273
     0.76600000   -30.48924272     0.34574362
     0.76800000   -30.65387212     0.34845866
     0.77000000   -30.81893060     0.35118786
     0.77200000   -30.98441815     0.35393128
     0.77400000   -31.15033476     0.35668895
     0.77600000   -31.31668045     0.35946090
     0.77800000   -31.48345520     0.36224718
     0.78000000   -31.65065902     0.36504781
     0.78200000   -31.81829190     0.36786284
     0.78400000   -31.98635384     0.37069230
     0.78600000   -32.15484485     0.37353624
     0.78800000   -32.32376491     0.37639468
     0.79000000   -32.49311402     0.37926766
     0.79200000   -32.66289220     0.38215522
     0.79400000   -32.83309942     0.38505741
     0.79600000   -33.00373570     0.38797424
     0.79800000   -33.17480102     0.39090577
     0.80000000   -33.34629540     0.39385202
